"MES_REFERENCIA,""NUM_CNPJ"",""QTD_CONSUMO"""
30/09/2021 00:00:00,11924000193,1244
31/10/2021 00:00:00,11924000193,1923
30/11/2021 00:00:00,11924000193,2517
31/12/2021 00:00:00,11924000193,0
31/01/2022 00:00:00,11924000193,0
28/02/2022 00:00:00,11924000193,0
30/09/2021 00:00:00,136575000136,33
31/10/2021 00:00:00,136575000136,822
30/11/2021 00:00:00,136575000136,123
31/12/2021 00:00:00,136575000136,1873
31/01/2022 00:00:00,136575000136,514
28/02/2022 00:00:00,136575000136,1049
30/09/2021 00:00:00,186050000105,389
31/10/2021 00:00:00,186050000105,1922
30/11/2021 00:00:00,186050000105,3087
31/12/2021 00:00:00,186050000105,0
31/01/2022 00:00:00,186050000105,0
28/02/2022 00:00:00,186050000105,0
30/09/2021 00:00:00,203611000137,214
31/10/2021 00:00:00,203611000137,2581
30/11/2021 00:00:00,203611000137,2657
31/12/2021 00:00:00,203611000137,2806
31/01/2022 00:00:00,203611000137,2931
28/02/2022 00:00:00,203611000137,2623
30/09/2021 00:00:00,212501000131,1080
31/10/2021 00:00:00,212501000131,2258
30/11/2021 00:00:00,212501000131,619
31/12/2021 00:00:00,212501000131,0
31/01/2022 00:00:00,212501000131,0
28/02/2022 00:00:00,212501000131,0
30/09/2021 00:00:00,237301000133,1886
31/10/2021 00:00:00,237301000133,1260
30/11/2021 00:00:00,237301000133,2892
31/12/2021 00:00:00,237301000133,2440
31/01/2022 00:00:00,237301000133,1046
28/02/2022 00:00:00,237301000133,2136
30/09/2021 00:00:00,295445000146,3138
31/10/2021 00:00:00,295445000146,1818
30/11/2021 00:00:00,295445000146,609
31/12/2021 00:00:00,295445000146,0
31/01/2022 00:00:00,295445000146,0
28/02/2022 00:00:00,295445000146,0
30/09/2021 00:00:00,296021000104,1940
31/10/2021 00:00:00,296021000104,2034
30/11/2021 00:00:00,296021000104,1554
31/12/2021 00:00:00,296021000104,1857
31/01/2022 00:00:00,296021000104,321
28/02/2022 00:00:00,296021000104,1867
30/09/2021 00:00:00,312811000128,2312
31/10/2021 00:00:00,312811000128,1138
30/11/2021 00:00:00,312811000128,2133
31/12/2021 00:00:00,312811000128,0
31/01/2022 00:00:00,312811000128,0
28/02/2022 00:00:00,312811000128,0
30/09/2021 00:00:00,318118000162,777
31/10/2021 00:00:00,318118000162,1642
30/11/2021 00:00:00,318118000162,701
31/12/2021 00:00:00,318118000162,1537
31/01/2022 00:00:00,318118000162,895
28/02/2022 00:00:00,318118000162,2007
30/09/2021 00:00:00,360305335980,2549
31/10/2021 00:00:00,360305335980,3287
30/11/2021 00:00:00,360305335980,245
31/12/2021 00:00:00,360305335980,0
31/01/2022 00:00:00,360305335980,0
28/02/2022 00:00:00,360305335980,0
30/09/2021 00:00:00,369225000110,208
31/10/2021 00:00:00,369225000110,898
30/11/2021 00:00:00,369225000110,772
31/12/2021 00:00:00,369225000110,319
31/01/2022 00:00:00,369225000110,3228
28/02/2022 00:00:00,369225000110,294
30/09/2021 00:00:00,434356000133,1522
31/10/2021 00:00:00,434356000133,1093
30/11/2021 00:00:00,434356000133,2489
31/12/2021 00:00:00,434356000133,0
31/01/2022 00:00:00,434356000133,0
28/02/2022 00:00:00,434356000133,0
30/09/2021 00:00:00,436163000111,3350
31/10/2021 00:00:00,436163000111,533
30/11/2021 00:00:00,436163000111,3331
31/12/2021 00:00:00,436163000111,1794
31/01/2022 00:00:00,436163000111,2497
28/02/2022 00:00:00,436163000111,1136
30/09/2021 00:00:00,436767000168,2329
31/10/2021 00:00:00,436767000168,3492
30/11/2021 00:00:00,436767000168,2369
31/12/2021 00:00:00,436767000168,0
31/01/2022 00:00:00,436767000168,0
28/02/2022 00:00:00,436767000168,0
30/09/2021 00:00:00,467376000100,2361
31/10/2021 00:00:00,467376000100,3084
30/11/2021 00:00:00,467376000100,1213
31/12/2021 00:00:00,467376000100,2591
31/01/2022 00:00:00,467376000100,474
28/02/2022 00:00:00,467376000100,341
30/09/2021 00:00:00,500737000173,118
31/10/2021 00:00:00,500737000173,1587
30/11/2021 00:00:00,500737000173,3165
31/12/2021 00:00:00,500737000173,0
31/01/2022 00:00:00,500737000173,0
28/02/2022 00:00:00,500737000173,0
30/09/2021 00:00:00,515747000263,1884
31/10/2021 00:00:00,515747000263,1303
30/11/2021 00:00:00,515747000263,3029
31/12/2021 00:00:00,515747000263,861
31/01/2022 00:00:00,515747000263,3016
28/02/2022 00:00:00,515747000263,1378
30/09/2021 00:00:00,517299000156,770
31/10/2021 00:00:00,517299000156,494
30/11/2021 00:00:00,517299000156,1904
31/12/2021 00:00:00,517299000156,0
31/01/2022 00:00:00,517299000156,0
28/02/2022 00:00:00,517299000156,0
30/09/2021 00:00:00,520765000152,2641
31/10/2021 00:00:00,520765000152,25
30/11/2021 00:00:00,520765000152,3253
31/12/2021 00:00:00,520765000152,2892
31/01/2022 00:00:00,520765000152,2620
28/02/2022 00:00:00,520765000152,916
30/09/2021 00:00:00,522359000129,3420
31/10/2021 00:00:00,522359000129,2982
30/11/2021 00:00:00,522359000129,2921
31/12/2021 00:00:00,522359000129,0
31/01/2022 00:00:00,522359000129,0
28/02/2022 00:00:00,522359000129,0
30/09/2021 00:00:00,532901000124,2279
31/10/2021 00:00:00,532901000124,1918
30/11/2021 00:00:00,532901000124,664
31/12/2021 00:00:00,532901000124,1443
31/01/2022 00:00:00,532901000124,1958
28/02/2022 00:00:00,532901000124,3253
