"ID_CNAE,""COD_CNAE"",""DES_CNAE""";;;;;;;;;
"508,2651500,""FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE MEDIDA, TESTE E CONTROLE""";;;;;;;;;
"512,2670102,""FABRICAÇÃO DE APARELHOS FOTOGRÁFICOS E CINEMATOGRÁFICOS, PEÇAS E ACESSÓRIOS""";;;;;;;;;
"1248,8660700,""ATIVIDADES DE APOIO À GESTÃO DE SAÚDE""";;;;;;;;;
"1290,8712300,""ATIVIDADES DE FORNECIMENTO DE INFRAESTRUTURA DE APOIO E ASSISTÊNCIA A PACIENTE NO DOMICÍLIO""";;;;;;;;;
"1294,8730102,""ALBERGUES ASSISTENCIAIS""";;;;;;;;;
"1293,8730101,""ORFANATOS""";;;;;;;;;
"1198,7320300,""PESQUISAS DE MERCADO E DE OPINIÃO PÚBLICA""";;;;;;;;;
"1219,7723300,""ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS""";;;;;;;;;
"1225,7732201,""ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES""";;;;;;;;;
"784,8020000,""ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANÇA""";;;;;;;;;
"935,8211300,""SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO""";;;;;;;;;
"700,729401,""EXTRAÇÃO DE MINÉRIOS DE NIÓBIO E TITÂNIO""";;;;;;;;;
"76,810004,""EXTRAÇÃO DE CALCÁRIO E DOLOMITA E BENEFICIAMENTO ASSOCIADO""";;;;;;;;;
"272,1062700,""MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS""";;;;;;;;;
"277,1065103,""FABRICAÇÃO DE ÓLEO DE MILHO REFINADO""";;;;;;;;;
"533,3092000,""FABRICAÇÃO DE BICICLETAS E TRICICLOS NÃOMOTORIZADOS, PEÇAS E ACESSÓRIOS""";;;;;;;;;
"534,3099700,""FABRICAÇÃO DE EQUIPAMENTOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE""";;;;;;;;;
"554,3250706,""SERVIÇOS DE PRÓTESE DENTÁRIA""";;;;;;;;;
"794,3299004,""FABRICAÇÃO DE PAINÉIS E LETREIROS LUMINOSOS""";;;;;;;;;
"793,3299003,""FABRICAÇÃO DE LETRAS, LETREIROS E PLACAS DE QUALQUER MATERIAL, EXCETO LUMINOSOS""";;;;;;;;;
"397,3314701,""MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃOELÉTRICAS""";;;;;;;;;
"617,3317101,""MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES E ESTRUTURAS FLUTUANTES""";;;;;;;;;
"620,3321000,""INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS""";;;;;;;;;
"1051,5620101,""FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS""";;;;;;;;;
"1061,5823900,""EDIÇÃO INTEGRADA À IMPRESSÃO DE REVISTAS""";;;;;;;;;
"1181,6110899,""SERVIÇOS DE TELECOMUNICAÇÕES POR FIO NÃO ESPECIFICADOS ANTERIORMENTE""";;;;;;;;;
"1184,6120599,""SERVIÇOS DE TELECOMUNICAÇÕES SEM FIO NÃO ESPECIFICADOS ANTERIORMENTE""";;;;;;;;;
"128,2442300,""METALURGIA DOS METAIS PRECIOSOS""";;;;;;;;;
"1093,7319001,""CRIAÇÃO DE ESTANDES PARA FEIRAS E EXPOSIÇÕES""";;;;;;;;;
"4,111302,""CULTIVO DE MILHO""";;;;;;;;;
"3,111301,""CULTIVO DE ARROZ""";;;;;;;;;
"8,112102,""CULTIVO DE JUTA""";;;;;;;;;
"15,116403,""CULTIVO DE MAMONA""";;;;;;;;;
"14,116402,""CULTIVO DE GIRASSOL""";;;;;;;;;
"24,119908,""CULTIVO DE MELANCIA""";;;;;;;;;
"765,2790299,""FABRICAÇÃO DE OUTROS EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE""";;;;;;;;;
"766,2811900,""FABRICAÇÃO DE MOTORES E TURBINAS, PEÇAS E ACESSÓRIOS, EXCETO PARA AVIÕES E VEÍCULOS RODOVIÁRIOS""";;;;;;;;;
"778,2824101,""FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE AR CONDICIONADO PARA USO INDUSTRIAL""";;;;;;;;;
"526,2759701,""FABRICAÇÃO DE APARELHOS ELÉTRICOS DE USO PESSOAL, PEÇAS E ACESSÓRIOS""";;;;;;;;;
"1018,4763603,""COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS";" PEÇAS E ACESSÓRIOS""";;;;;;;;
"1150,4789004,""COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO""";;;;;;;;;
"1159,4912402,""TRANSPORTE FERROVIÁRIO DE PASSAGEIROS MUNICIPAL E EM REGIÃO METROPOLITANA""";;;;;;;;;
"234,1813099,""IMPRESSÃO DE MATERIAL PARA OUTROS USOS""";;;;;;;;;
